Timestamp,Cinsiyet,Yas,Bolge,Egitim,soru1,soru2,soru3,soru4,soru5,soru6,soru7,soru8,soru9,soru10,parti
5/11/2018 12:57:15,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 12:57:22,Erkek,18-30,Marmara,Ön Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,AKP
5/11/2018 13:38:13,Erkek,18-30,Marmara,Lisans,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 13:41:18,Erkek,0-18,Marmara,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,CHP
5/11/2018 13:41:41,Erkek,18-30,Marmara,Lisans Üstü,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 14:24:00,Erkek,18-30,Marmara,Lise,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,AKP
5/11/2018 14:53:02,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 14:55:41,Erkek,0-18,Doğu Anadolu,Lise,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,Evet,Evet,MHP
5/11/2018 15:32:18,Erkek,30-50,Marmara,Lisans,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/11/2018 15:46:36,Erkek,0-18,Akdeniz,Lise,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,AKP
5/11/2018 15:47:21,Erkek,30-50,Ege,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Evet,Hayır,Evet,AKP
5/11/2018 16:16:10,Erkek,0-18,Marmara,Lise,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,IYI PARTI
5/11/2018 16:23:03,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 16:43:36,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 16:49:43,Erkek,0-18,Marmara,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,IYI PARTI
5/11/2018 17:31:42,Erkek,18-30,İç Anadolu,Lisans,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 18:55:27,Erkek,18-30,Ege,Lisans,Hayır,Evet,Hayır,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 19:37:53,Kadın,30-50,Ege,Lisans Üstü,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 20:00:29,Erkek,0-18,Marmara,Lise,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 20:46:10,Erkek,18-30,Akdeniz,Lise,Hayır,Hayır,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Hayır,Hayır,AKP
5/11/2018 21:58:23,Erkek,18-30,İç Anadolu,Lisans Üstü,Evet,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/11/2018 23:03:25,Erkek,30-50,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Hayır,Evet,AKP
5/11/2018 23:03:47,Erkek,30-50,Marmara,Lisans Üstü,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,HDP
5/11/2018 23:16:32,Erkek,30-50,Marmara,Lise,Hayır,Evet,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,DIĞER
5/11/2018 23:52:11,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,IYI PARTI
5/11/2018 23:52:29,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Evet,Evet,Evet,Evet,Evet,IYI PARTI
5/11/2018 23:52:42,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,AKP
5/11/2018 23:53:03,Kadın,18-30,Marmara,Ön Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,Hayır,Evet,AKP
5/11/2018 23:53:20,Erkek,18-30,Ege,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,DIĞER
5/11/2018 23:53:33,Erkek,18-30,Marmara,Lisans,Evet,Evet,Evet,Evet,Hayır,Evet,Evet,Evet,Hayır,Evet,IYI PARTI
5/11/2018 23:53:51,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Hayır,Hayır,AKP
5/11/2018 23:54:21,Kadın,18-30,Marmara,Lise,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,AKP
5/11/2018 23:54:57,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Evet,Evet,Evet,DIĞER
5/11/2018 23:57:03,Erkek,18-30,İç Anadolu,Lisans,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/11/2018 23:58:58,Erkek,18-30,İç Anadolu,Lise,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,Hayır,Evet,Hayır,CHP
5/11/2018 23:59:04,Erkek,18-30,Ege,Lisans Üstü,Hayır,Evet,Evet,Hayır,Hayır,Evet,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:01:09,Erkek,18-30,Akdeniz,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:01:24,Erkek,18-30,Marmara,Lisans,Evet,Evet,Evet,Evet,Hayır,Hayır,Evet,Evet,Hayır,Evet,AKP
5/12/2018 0:02:30,Erkek,30-50,Ege,Ön Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,AKP
5/12/2018 0:03:23,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:03:29,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:09:06,Kadın,18-30,Marmara,Lisans,Hayır,Hayır,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:17:00,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 0:20:57,Erkek,30-50,Akdeniz,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 1:10:38,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 1:16:42,Erkek,0-18,Marmara,Lise,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 1:27:29,Erkek,0-18,Marmara,Ortaokul,Evet,Hayır,Hayır,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/12/2018 1:44:55,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Hayır,CHP
5/12/2018 7:27:37,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Hayır,CHP
5/12/2018 9:52:07,Kadın,18-30,Marmara,Lisans,Evet,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Hayır,AKP
5/12/2018 11:52:10,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,Evet,Evet,IYI PARTI
5/12/2018 12:54:35,Erkek,30-50,Güneydoğu,Lisans Üstü,Evet,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Evet,Evet,IYI PARTI
5/12/2018 13:25:00,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,AKP
5/12/2018 13:48:55,Erkek,18-30,Akdeniz,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Evet,Hayır,CHP
5/12/2018 13:51:13,Kadın,0-18,Ege,Lise,Hayır,Evet,Hayır,Evet,Hayır,Hayır,Evet,Evet,Evet,Hayır,IYI PARTI
5/12/2018 14:07:47,Erkek,18-30,Ege,Lise,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,AKP
5/12/2018 14:40:38,Erkek,0-18,Marmara,Lise,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,Hayır,Evet,MHP
5/12/2018 14:41:10,Erkek,18-30,Marmara,Lise,Hayır,Evet,Evet,Evet,Hayır,Evet,Hayır,Hayır,Hayır,Evet,IYI PARTI
5/12/2018 14:45:18,Erkek,30-50,Ege,Lise,Evet,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,HDP
5/12/2018 15:15:35,Erkek,0-18,Karadeniz,Lise,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 15:30:48,Erkek,0-18,Marmara,Lise,Hayır,Evet,Evet,Evet,Hayır,Evet,Hayır,Evet,Evet,Hayır,IYI PARTI
5/12/2018 15:46:52,Erkek,0-18,Marmara,Lise,Hayır,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Hayır,Evet,DIĞER
5/12/2018 15:51:36,Erkek,30-50,Akdeniz,Ön Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,MHP
5/12/2018 16:07:52,Kadın,0-18,İç Anadolu,Ortaokul,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 17:26:04,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 17:26:14,Erkek,18-30,Marmara,Ön Lisans,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 17:30:16,Erkek,0-18,Marmara,Lise,Evet,Evet,Evet,Evet,Hayır,Evet,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 18:58:23,Kadın,0-18,Marmara,Ortaokul,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 20:42:50,Erkek,0-18,Akdeniz,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/12/2018 20:46:43,Erkek,0-18,Marmara,Lise,Hayır,Evet,Hayır,Hayır,Hayır,Evet,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 20:52:15,Erkek,18-30,Marmara,Lisans,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 21:42:42,Kadın,60+,Güneydoğu,Lisans Üstü,Hayır,Evet,Evet,Hayır,Hayır,Evet,Evet,Evet,Evet,Evet,IYI PARTI
5/12/2018 22:32:36,Erkek,18-30,Marmara,Ön Lisans,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Hayır,Hayır,DIĞER
5/12/2018 22:46:21,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,HDP
5/12/2018 22:46:41,Erkek,18-30,İç Anadolu,Lisans,Hayır,Evet,Evet,Evet,Hayır,Hayır,Evet,Hayır,Evet,Evet,IYI PARTI
5/12/2018 22:53:23,Kadın,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Evet,Evet,Hayır,Evet,Evet,IYI PARTI
5/12/2018 22:53:33,Erkek,0-18,İç Anadolu,Lise,Hayır,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Evet,Evet,Evet,CHP
5/12/2018 22:54:38,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Hayır,DIĞER
5/12/2018 22:58:12,Erkek,18-30,Ege,Lise,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Evet,Hayır,Evet,DIĞER
5/12/2018 23:01:31,Kadın,18-30,Ege,Lisans,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,Hayır,Evet,DIĞER
5/12/2018 23:01:41,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Hayır,Evet,Hayır,Evet,Hayır,Evet,Evet,Evet,DIĞER
5/12/2018 23:13:31,Erkek,18-30,Marmara,Lisans,Evet,Evet,Hayır,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,CHP
5/12/2018 23:14:10,Erkek,18-30,Marmara,Lisans,Evet,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Evet,Evet,DIĞER
5/12/2018 23:18:32,Erkek,30-50,Marmara,Lisans,Evet,Evet,Hayır,Evet,Hayır,Evet,Hayır,Hayır,Evet,Evet,AKP
5/12/2018 23:20:42,Erkek,18-30,Marmara,Lisans,Hayır,Evet,Evet,Hayır,Hayır,Hayır,Evet,Hayır,Hayır,Evet,IYI PARTI